State,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UT,Utah,812551.55,2901698.9,2572441.41,2090860.95,1742951.75,1862149.02,1513732.92,1512080.88,1751720.88,1522404.72,1557793.05,1572522.98
VT,Vermont,117833.75,127193.5,127373.5,100207.75,90989.75,96443.25,68835.0,58199.75,65091.5,77913.0,66901.5,55130.75
VA,Virginia,3107362.36,7119739.62,6561683.48,6445998.6,6006520.18,6071240.25,6014461.5,5995166.25,5868669.45,5998258.75,6048504.92,5569921.32
WA,Washington,1200093.75,1337841.25,1142837.57,1156425.5,1119741.0,1146835.0,1194213.5,1338602.75,1417168.25,1602439.0,1440738.0,1616991.5
WV,West Virginia,1122829.06,12057839.77,12315550.55,13029471.5,13908900.25,14684739.5,13418817.25,12802345.5,11445871.0,10343169.5,9842217.75,9443996.5
WI,Wisconsin,1428317.04,2029025.69,2047674.12,1658831.5,1547863.0,1495507.0,1475638.75,1548879.25,1418762.25,1346494.25,1313015.0,1272153.0
WY,Wyoming,266733.8,1276456.25,1022107.75,952024.75,678115.5,612537.0,1412945.25,1254037.0,1208373.5,1194569.25,1007692.0,627354.25
DC,District of Columbia,308.0,211.5,71.25,46.75,56.0,52.5,47.5,50.0,57.25,51.25,47.0,41.5
AS,American Samoa,,,,,,,,,,,,
GU,Guam,,,,,,,,,,,,
MP,Northern Mariana Islands,,,,,,,,,,,,
PR,Puerto Rico,1081218.31,1884182.4,1024253.89,1053915.25,897940.5,828635.75,913617.0,924731.75,642742.0,490319.5,469283.25,515814.25
